No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
"1,009",Apoyo del diseño metodológico y lanzamiento del programade reconocimiento a la gestión y el desempeño socio: ambiental empresarial depart.de C/ba.  Informe Final ,CONV.COOPERACION No. 21/2008 -CVS-CNPMLTA,"2,009"
"1,010",Reporte del monitoreo de material particulado PM10 Y PM2.5,CONT.002/2008-APCYTEL LTDA,"2,009"
"1,011","Proyecto Implementación plan manejo y conservación del manatí trichechus mantus cuenca Rio Sinú, mediante técnicas de telemetría. Informe final ",CONV. 34/2009-CVS-OMACHA,"2,009"
"1,012",Acompañamiento en el fortalecimineto empresarial regional de mercados verder en jurisdicción de la CVS. Informe Final,CONV.No. 19/2008-CVSCNPMLTA-,"2,008"
"1,013","Apoyo a la definición de la politica regional de mercados verdes,jurisdeucción de la CVS, Informe final",CONV.No.18 CVS-CNPMLTA,"2,009"
"1,014",Implementación de  estrategias para la producción organica de platano (POP)biocomercio y protección ambiental municip Puerto Escondido C/ba. ,CONV.No. 043/2008 CVS-UNICOR,"2,009"
"1,015","Fortalecimiento de la capacidad productiva, procesamiento y comercialización de hongos comestibles y medicinales cultivados por comunidades de Córdoba. Informe Técnico",CONV.017/2008-CVS-UNICOR ,"2,009"
"1,016",Fortalecimiento de la pizipiscicultura como proceso de prodicción limpio y sostenible de arroz del Castillo y la Doctrina en el bajo Sinu,CONVENIO  CVS-UNISINU,"2,010"
"1,017","Diagnostico para la delimitación y caracterización de las zonas con amenazas y riesgos naturales de San Pelayo, Cotorra,Purisima,Moñitos,Cienaga De Oro,San Carlos, Cerete,Lorica,Sahagun y ters cabeceras corregimentales",CONVENIO  CVS-UNISINU,"2,009"
"1,018","Diagnostico para la delimitación y caracterización de las zonas con amenazas y riesgos naturales de San Pelayo, Cotorra,Purisima,Moñitos,Cienaga De Oro,San Carlos, Cerete,Lorica,Sahagun y ters cabeceras corregimentales. Anexos",CONVENIO  CVS-UNISINU,"2,009"
"1,020",Determinantes ambientales para la zona Costera del D/pto de Cordoba,CONVENIO  No 092  INVEMAR,"2,009"
"1,021","Formulación del plan Integral de Manejo para el (DMI) Bahia  de Cispatá,La Balsa,Tinajones y Sectores del Delta Estuarino",CONVENIO  No 092  INVEMAR,"2,009"
"1,022","Evaluación del grado de contaminación por hidrocarburos,Plomo y Manganeso en las estaciones de gasolina de Planeta Rica y Cerete",CONVENIO  CVS-UNICORDOBA,"2,009"
"1,023","Capacitación y divulgación de prevención y atención de emergencia-CLOPAD en San Antero, San Bernardo Del Viento y Canalete",CVS- UNIVERSIDAD EAFIT,"2,009"
"1,024",Imlementación ll fase del plan de nanejo del complejo cenagoso del bajo Sinu Informe Final- Informe final ,"CORPORACION AREAS NAT, PROTEGIDAS","2,010"
"1,025",Imlementación ll fase del plan de nanejo del complejo  de humedales de Ayapel-2009,"CORPORACION AREAS NAT, PROTEGIDAS","2,010"
"1,026",Evaluacion ecológica rápida humedal de Sierra Chiquita,CVS /FUNDACION HERENCIA AMBIENTAL CARIBE,"2,009"
"1,027",Plan de Accion Regional para la Conservación y uso Sostenible de la Biodiversidad del Dpto.de Córdoba,CONV.ESPECIFICO DE COOPERACION No. 18 DE 2009-COARPORACION ECOVERSA,"2,010"
"1,028","Estudios y diseños de obras para control de erosión e inundación en el Rio Sinu y San Jorge, Mejoramiento del drenaje urbano y rural del dpto.de Córdoba - Sector La Balsa -Montelibano Canalización -Sahagún ",CONT.No. 069-2008 -CONSORCIO RIOS DE CORDOBA  - CVS,"2,009"
"1,029","Estudios y diseños de obras para control de erosión e inundación en el Rio Sinu y San Jorge, Mejoramiento del drenaje urbano y rural del dpto.de Córdoba - Sector Barrio Muchajagua margen derecha rio San Jorge, -Montelibano Pila del Puente Rio San Pedro -Puerto Libertador",CONT.No. 69/2008 - CONSORCIO RIOS DE CORDOBA -CVS,"2,009"
"1,030","Estudios y diseños de obras para control de erosión e inundación en el Rio Sinu y San Jorge, Mejoramiento del drenaje urbano y rural del dpto.de Córdoba - Vereda Rabo Cacho - Las Mercedes -Lorica -Córdoba",CONT.69 - 2008- CONSORCIO RIOS DE CORDOBA  - CVS,"2,009"
"1,031","Estudios y diseños de obras para control de erosión e inundación en el Rio Sinu y San Jorge, Mejoramiento del drenaje urbano y rural del dpto.de Córdoba - Varrio La Esmeralda Caserio Boca de la Ceiba  - Montería",CONT.69 - 2008- CONSORCIO  RIOS DE CORDOBA  - CVS,"2,009"
"1,032","Estudios y diseños de obras para control de erosión e inundación en el Rio Sinu y San Jorge, Mejoramiento del drenaje urbano y rural del dpto.de Córdoba - Vereda Retiro de los Paez sector  de influencia Caño Bugre, Corregimiento Mateo Gomez - Cerete",CONT.69 - 2008- CONSORCIO  RIOS DE CORDOBA  - CVS,"2,009"
"1,033",Primera Fase Plan de Acción para la Conservación de Especies Psitacidos y Formulación de la Estrategia de Conservación del Paujil de Pico Azul  en Córdoba (2 TOMOS),FUNDACION PROAVES-CVS,"2,010"
"1,034",Actualización Catastral Municipio Canalete-Zona Rural y Centros Poblados (2 Tomos),CONV.46 CVS-IGAC ,"2,008"
"1,035",Formación Catastral Municipio de Valencia Zona Rural (2 Tomos),CONV.INTERACTIVO No. 013-2008,"2,008"
"1,036",Actualización Catastral Municipio de Tierralta -Zona Urbana Centros Poblados y Formación Catastral Zona Rural (2 Tomos),CONT.INTERACTIVO No. 14-2008,"2,008"
"1,036",Implementación de un Proyecto de Recuperación del Bosque y Producción Sostenible del PGOF en la Zona del Cerro Murrucucu y un Proyecto para la Implementación de Sistemas Sostenibles para la Conservación del POATZA   + CD,CONV.No. 23 DE  2009 CVS-FUNDACION CDF ,"2,009"
"1,037",Etablecimiento y Fortalecimineto de Sistemas Productivos Artezanales Orientados al Mercado verde y al Biocomenrcio en el Departamento de Córdoba  + CD,CONV. 029-2009-CVS-ARTESANIAS DE COLOMBIA,"2,009"
"1,038","Estudios  para la Sintesis del Diagnostico Ambiental y Elementos de prospectiva para la Formulacion del Plan de Ordenamiento y Manejo de la Cuenca del Rio San Jorge, Tomando como Base los Lineamientos del Decreto 1729 de 2002   TOMOS:  1 y 2  Mas 1 CD - DOCUMENTO  FINAL ",CONT.054 CVS-AITEC  S.A.,"2,009"
"1,039",Análisisi y Evaluación de la Zona Urbana y Expanción Urbana del Plan Básico de Ordenamiento Territorial Municipal de Chinu.  INFORME FINAL   1.  CD,CONVENIO No. 035 CVS-EAFIT,"2,009"
"1,040",Desarrollar Actividades Cientificas y Tecnológicas para la Realización de los Estudios de Formación de la Fase I en el Sistema  de Alertas Tempranas SAT por Inundacion en la Cuenca del Rio  ,CONVENIO No.08 -2009,"2,009"
"1,041",Desarrollo estandar y Protocolos a fin de construir instrumentos que permitan medir la gestion ambiental de la CVS para los proximos 10 años 2009-2019 dentro de los lineamientos del sistema de informacion  ambiental,CONV.002 -ASOCARS¨- CVS,"2,009"
"1,042","Convenio Interadministrativo 019 sobre Modelamiento de la contaminación hidrica de acuiferos de Ayapel, Chinú y Sahagún en el Deparamento de Córdoba ",CONV.019 CVS-UNICORDOBA,"2,009"
"1,043",Fortalecimiento a la aplicación de ciaencias y tecgnologias en el cultivo de hongos comestibles en desechos agroindustriales en comunidades rurales y urbanas del Departamento de Córdoba,CONV.013 CVS-UNICORDOBA,"2,009"
"1,044","Fortalecer la aplicación de ciencias y tecnologias mediadnte el estudio de la flora existente en los centros apicolas establecidos por la Corporacion en comunidades rurales de los municipios de Sahagún, Chinú, Cienaga de Oro, San Andres de sotavento y Pueblo Nuevo en el Departamento de Córdoba",CONV.015 CVS-UNICORDOBA,"2,009"
"1,045","Inducción en Practicas de manejo de los Reglamentos necesarios a seguir para la obtención de la cerificación organica del Arroz en la Vereda el Castillo en el Municipio de San Bernardo del Viento, Departamento de Córdoba  ",CONVENIO 038 CVS-UNICORDOBA,"2,009"
"1,046",Estudio de avance Tecnológico y Agroindustrial del Sector Hortofruticola del Departamento de Córdoba para la Aplicación de Buenas Practicas Acricolas como Sistema de Gestión Ambiental en su proceso Productivo  ,CONV.No. 016 - 2009 CVS-UNICORDOBA,"2,009"
"1,048",Elaboración de la Primera Fase de Inventario de Emisiones Atmosfereica para Fuentes Moviles y la Operación de Cuatro Estacionbes Red de Monitoreo en Calidad de Aire Municipio de Montería,CONT.042-2009 CV-UNION TEMPORAL MONITOREOS 2009,"2,009"
"1,049","Estudio de Ecosistemas Naturales Estrategicos y Biodiversidad Amenazada del Departamento de Cordoba, Mediante la Investigación y Documentación Cientifica de 4 Pilares en la Gestión de la CVS como Areas Naturales, Humedales, Trafico Ilegal de Especies Amenazadas y Programa de Zoocria Legalmente Registrados en Jurisdicción de CVS",CONVENIO CVS-UNICORDOBA No. 05-2009,"2,009"
"1,050",CAV.  CVS Informe Técnico Final  ,CONVENIO No.03-2009 CVS -UNICORDOBA,"2,010"
"1,051",Restablecimiento del Bosque de Galería del Río Sinú. Informe Consolidado de Ejecucion,CONVENIO CVS-FONADE 194055,"2,008"
"1,052",Indicadores de Segumiento y Evaluacion del Plan de Accion Regional para la Conservacion y Uso Sostenible de la Biodiversidad del Dpto. de Cordoba - 2 Tomos,CORPORACION ECOVERSA,"2,011"
"1,053","Plan de Emergencia Municipios de Tuchin y san Carlos, Dpto. de Córdoba",UNIVERSIDAD EAFIT-CVS,"2,011"
"1,054","Plan Parcial para Incorporar la Zona de Expansion Urbana a Zona Urbana del Municipio de Pueblo Nuevo, Dpto. de Córdoba","CORPORACION PARA EL DESARROLLO INTEGRAL Y SOSTENIBLE DEL DPTO DE CORDOBA Y SU ENTORNO ""CORDECOR""","2,007"
"1,055","Plan de Emergencia Municipios de Valencia, Puerto Libertador, San José de Uré y Ayapel, Dpto. de Córdoba",UNIVERSIDAD EAFIT-CVS,"2,011"
"1,056",Fomento de Sistemas Silvopastoriles como Estrategia de Aplicación de la Producción Mas Limpia en el Subsector Ganaderia Bovina en el Dpto. de Córdoba,CONVENIO 60 DEL 4 DE SEPT./2008,"2,010"
"1,057",Primera Fase del Plan de Accion para la Conservacion de las Especies de Psitacidos y Formulacion de la Estrategia de Conservacion del Paujil de Pico Azul (Crax alberti) en Córdoba.,ADRIANA MAYORQUIN C. COORD. DE PROYECTO FUNDACION PROAVES,"2,010"
"1,058",FORMULACION DEL NUEVO PLAN BASICO DE ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE TIERRALTA (CORDOBA) 2011-2033 (2 TOMOS),CODECOR,"2,011"
"1,059","ASISTENCIA TECNICA PARA LA FORMULACION E IMPLEMENTACION DE LOS PLANES LOCALES DE EMERGENCIA Y CONTINGENCIA Y ASESORIA A LA CVS Y ENTES TIERRITORIALES PARA QUE EL COMPONENTE DE AMENAZAS Y RIESGOS SEA INCLUIDO EN DEBIDA FORMA EN EL PROCESO DE FORMULACION Y/0 REVISION Y AJUSTES Y COMPLEMENTACION DE LOS PLANES DE ORDENAMIENTO TERRITORIAL, MUNICIPIO DE BUENAVISTA, PTA RICA, CERETE Y PUEBLO NUEVO, SAN BERNARDO Y TUCHIN (2 TOMOS)",UNIVERSIDAD EAFIT,"2,011"
"1,060","IMPLEMENTACION DE LA III FASE DEL PLAN DE MANEJO DEL COMPLEJO CENAGOSO DEL BAJO SINU C.C.B.S. Y COMPLEJO DE HUMEDALES DE AYAPEL - CH.A, A TRAVES DE UNA ESTRATEGIA SOCIAL (2 TOMOS)",FUNDACION OMACHA,"2,011"
"1,061",PLAN DE EDUCACION AMBIENTAL MOMIL,CVS,"2,011"
"1,062",HACIA LA CONSTRUCCION DEL PLAN MUNICIPAL DE EDUCACION AMBIENTAL PMDEA - PROYECTO DE FORTALECIMIENTO DE LA EDUCACION AMBIENTAL EN EL DEPARTAMENTE DE CORDOBA,CONVENIO 031 CVS - UNICOR,"2,011"
"1,063",PLAN MUNICIPAL DE EDUCACION AMBIENTAL PMDEA - SAN BERNARDO DEL VIENTO CORDOBA - CUIDAR EL PLANETA TAMBIEN ES TU TAREA,CVS - UNICOR,"2,011"
"1,064",PLAN DE EDUCACION AMBIENTAL DEL MUNICIPIO DE TUCHIN,CVS - UNICOR,"2,011"
"1,065","AJUSTE Y SOCIALIZACION DE LAS DETERMINANTES AMBIENTALES DE ZONA COSTERA PARA LOS PLANES DE ORDENAMIENTO TERRITORIAL POT DE LOS MUNICIPIOS DE SAN ANTERO Y SAN BERNARDO, EN EL DPTO DE CORDOBA Y VALORACION ECONOMICA DE LOS SERVICIOS AMBIENTALES PRESTADOS POR EL MANGLAR EN EL DISTRITO DE MANEJO INTEGRADO, DMI CISPATA","CONVENIO 33 CVS - INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS ""JOSE BENITO VIVES DE ANDREIS"" INVEMAR","2,011"
"1,066",DESARROLLAR UNA INVESTIGACION EN EL SUBSECTOR PORCICOLA ENCAMINADA A LA IMPLEMENTACION DE ESTRATEGIAS DE PRODUCCION MAS LIMPIA Y EVALUAR SUS RESULTADOS EN EL DPTO DE CORDOBA - INFORME FINAL TECNICO CONVENIO 50 DE 2010,CONVENIO 50 CVS - UNIVERSIDAD PONTIFICIA BOLIVARIANA,"2,011"
"1,067",INFORME TECNICO CONVENIO ESPECIAL DE COOPERACION CIENTIFICA NO. 25 DE 2010,CVS - BENEMERITO CUERPO DE BOMBEROS VOLUNTARIOS DE CALI,"2,011"
"1,068","FORMULACION DE LOS LINEAMIENTOS DE MANEJO INTEGRADO DE LA UNIDAD AMBIENTAL COSTERA ESTAURINA RIOS SINU-GOLFO DE MORROSQUILLO, UAC SECTOR DEPARTAMENTO DE CORDOBA. DOS (2) TOMOS",CONVENIO CVS - INVEMAR NO. 34,"2,012"
"1,069",PLAN DE MANEJO DE LA CIENAGA DE SIERRA CHIQUITA EN EL DEPARTAMENTO DE CORDOBA - INFORME FINAL - DOS (2) TOMOS,CONVENIO 7,"2,011"
"1,070","VALORACION BENEFICIO COSTO AMBIENTAL DEL PROYECTO DE INVERSION DE CVS PARA EL CONTROL DE EROSION E INUNDACIONES EN LA MARGEN DERECHA DEL RIO SINU, CASERIO LA MAJAGUA, CORREGIMIENTO DE CARRILLO, MUNICIPIO DE SAN PELAYO, DEPARTAMENTO DE CORDOBA - INFORME FINAL - DOS (2) TOMOS",CORPORACION ECOVERSA - CONVENIO ESPECIAL DE COOPERACION CIENTIFICA Y TECNOLOGICA NO. 20,"2,011"
"1,071","ESTUDIO DEL IMPACTO AMBIENTAL DEL RELLENO SANITARIO DE LA REGION CONFORMADA POR LOS MUNICIPIOS DE TIERRA ALTA Y VALENCIA, DEPARTAMENTO DE CORDOBA. ANEXOS. TOMO I",DOMINGO GUERRA ZAPA ING. CONSULTOR,"2,008"
"1,072","ESTUDIO DEL IMPACTO AMBIENTAL DEL RELLENO SANITARIO DE LA REGION CONFORMADA POR LOS MUNICIPIOS DE SAHAGUN, CHINU Y SAN ANDRES DE SOTAVENTO, DEPARTAMENTO DE CORDOBA. TOMO I",DOMINGO GUERRA ZAPA ING. CONSULTOR,"2,008"
"1,073",FUNDAMENTOS PARA LA DECLARATORIA DE PANTANO LARGO COMO AREA PROTEGIDA REGIONAl. DOS (2) TOMOS,FUNDACION HERENCIA AMBIENTAL CARIBE - CONVENIO NO. 6 2011 DOCUMENTO BASE,"2,012"
"1,074","DIAGNOSTICO DE LA CALIDAD DEL AIRE Y SU POSIBLE IMPACTO SOBRE LA SALUD DE LOS HABITANTES, EL MEDIO AMBIENTE Y LOS RECURSOS NATURALES DE LA CIUDAD DE MONTERIA Y SUS ALREDEDORES. DOS (2) TOMOS.","UNIVERSIDAD PONTIFICIA BOLIVARIANA , SECCIONAL MONTERIA","2,012"
"1,075",PLAN DE MANEJO DE LA CIENAGA DE LA PACHA EN EL DEPARTAMENTO DE CORDOBA. INFORME FINAL. DOS (2) TOMOS,FUNDACION HERENCIA AMBIENTAL CARIBE - CONVENIO NO. 061 DE 2010,"2,011"
"1,076",ELABORACION DE AGLOMERACION DE CARBON Y RESIDUOS DE COSECHA DE MAIZ (TUZA) COMBUSTIBLE SOLIDO PARA USO INDUSTRIAL Y DOMESTICO.,"UNIVERSIDAD PONTIFICIA BOLIVARIANA , SECCIONAL MONTERIA","2,012"
"1,077",DESARROLLAR UNA INVESTIGACION CIENTIFICA Y TECNOLOGICA A PARTIR DE LA UTILIZACION DE DESECHOS ORGANICOS DE ANIMALES Y VEGETALES PARA LA PRODUCCION AUTOSOSTENIBLE DE BIOGAS COMBUSTIBLE ALTERNATIVO EN COMUNIDADES VULNERABLES DEL DEPARTAMENTO DE CORDOBA.,"UNIVERSIDAD PONTIFICIA BOLIVARIANA , SECCIONAL MONTERIA","2,012"
"1,078",UNIDAD DE PLANIFICACION RURAL PARQUE AGROINDUSTRIAL DE CORDOBA. DOCUMENTO TECNICO DE SOPORTE,MUNICIPIO DE SAN CARLOS,"2,011"
"1,079","REVISION Y AJUSTE PLAN BASICO DE ORDENAMIENTO TERRITORIAL (PBOT) 2012-2015 PLANETA RICA, CORDOBA, DOCUMENTO FORMULACION",ASOCIACION MUNICIPIOS ALTO SINU Y SAN JORGE,"2,011"
"1,080","REVISION Y AJUSTE PLAN BASICO DE ORDENAMIENTO TERRITORIAL (PBOT) PLANETA RICA, CORDOBA, DIAGNISTICO",ASOCIACION MUNICIPIOS ALTO SINU Y SAN JORGE,"2,011"
"1,081","APLICAR TECNOLOGIAS Y CONOCIMIENTOS CIENTIFICOS EN LOS PROCESOS DE REHABILITACION Y CONSERVACION DE SUELOS EN SISTEMAS DE PRODUCCION AGRICOLA EN LA REGION COSTERA DEL DPTO DE CORDOBA, INFORME FINAL",JUDITH MARTINEZ - CORPOICA- CVS,"2,011"
"1,082","ESTUDIOS Y DISEÑOS DE OBRAS PARA EL CONTROL DE EROSION E INUNDACIONES EN EL RIO SINU Y SAN JORGE Y MEJORAMIENTO EN EL DRENAJE URBANO Y RURAL PARA EL CONTROL DE INUNDACIONES EN EL DP´TO DE CORDOBA, VEREDA RABO GACHO, VEREDA LAS MERCEDES MUNICIPIO DE LORICA",CONTRATO 069-2008 CONSORCIO RIOS DE CORODBA - CVS,"2,009"
"1,083",FOMENTAR LA TRANSPARENCIA TECNOLOGICA DE NUEVOS SISTEMAS SILVOPASTORILES ENMARCADOS EN ESTRATEGIAS DE PRODUCCION MAS LIMPIA QUE CONTRIBUYAN AL MEJORAMIENTO DE LA PRODUCTIVIDAD Y LA RECUPERACION DE SUELOS DEGRADADOS EN EL DPTO DE CORDOBA. INFORME FINAL,CONVENIO ESPECIAL DE COOPERACION CIENTIFICA Y TECNOLOGICA NO. 29 CVS-GANACOR-ICA,"2,011"
"1,084",IMNOVACION TECNOLOGICA Y DESARROLLO EMPRESARIAL EN EL SISTEMA DE PRODUCCION RIZIPISCICULTURA EN EL DPTO DE CORDOBA 2011-2012,CONVENIO 05-2011 CENTRO NACIONAL DE PRODUCCION MAS LIMPIA Y TECNOLOGIAS AMBIENTALES CNPMLTA-CVS,"2,012"
"1,085","GESTION, PARTICIPACION Y COMUNICACIÓN PARA LA CONSTRUCCION DE CULTURA AMBIENTAL CIUDADANA",CONVENIO 07-2010 CNPMLTA-CVS,"2,012"
"1,086","PROMOVER EL DESARROLLO EMPRESARIAL SOSTENIBLE EN EL AMBITO REGIONAL, MEDIANTE EJECUCION DE ACTIVIDADES DE CIENCIA Y TECNOLOGIA ENCAMINADAS A LA PREVENCION, REDUCCION Y CONTROL DE LA CONTAMINACION DE LOS SECTORES PRODUCTIVOS EN EL MARCO DE LA NUEVA POLITICA DE PRODUCCION Y CONSUMO SOSTENIBLE ESTABLECIENDO EN LOS MISMOS BUENAS PRACTICAS DE MANUFACTURA, CAMBIOS DE PROCESO, MODIFICACIONES TECNOLOGICAS Y GESTION EMPRESARIAL CON RESPONSABILIDAD SOCIAL Y AMBIENTAL.",CONVENIO 13-2010 CVS-CNPMLTA,"2,010"
"1,087","ELABORACION DEL INVENTARIO, DIAGNOSTICO Y ESTUDIO DE INGENIERIA PARA LA FORMULACION DE LOS PLANES DE RESTAURACION, RECUPERACION, COMPENSACION Y EL ABANDONO DE LOS SITIOS DE DISPOSICION FINAL INADECUADOS O BOTADEROS A CIELO ABIERTO PARA LOS MUNICIPIOS DE CORDOBA. INFORME FINAL MUNICIPIO DE LORICA",UNION TEMPORAL AMBIENTAL CONSULTORES,"2,007"
"1,088","ESTUDIO DE IMPACTO AMBIENTAL DEL RELLENO SANITARIO SANITARIO DE LA REGION CONFORMADA POR LOS MUNICIPIOS DE SAHAGUN, CHINU Y SAN ANDRES DE SOTAVENTO, CORDOBA. TOMO I",DOMINGO GUERRA ZAPA ING CONSULTOR,"2,008"
"1,089",GESTION INTEGRAL DEL RECURSO HIDRICO,CONVENIO 04 DEL 2011 UPB-CVS,"2,012"
"1,090",COLOMBIA DIVERSIDAD BIOTICA XII - LA REGION CARIBE DE COLOMBIA,J.ORLANDO RANGEL CH,"2,012"
"1,091","COLOMBIA DIBERSIDAD BIOTICA IX - CIENAGAS DE CORDOBA: BIODIVERSIDAD, ECOLOGIA Y MANEJO AMBIENTAL",J.ORLANDO RANGEL CH,"2,010"
"1,092",EVENTOS REPRODUCTIVOS DE LAS PRINCIPALES ESPECIES REOFILICAS DEL RIO SAN JORGE. INFORME FINAL,"VICTOR J. ATENCIO GARCIA, TEOBALDIS MERCADO-FERNANDEZ Y EDUARDO KERGUELEN DURANGO","2,005"
"1,093",PLAN DE MANEJO Y GESTION AMBIENTAL DE LA CUENCA EL CAÑO LA CAIMANERA,CVS-CONSERVACION INTERNACIONAL,"2,009"
"1,094",ANEXOS DEL PROYECTO: ELABORACION DE LA PRIMERA FASE DEL ESTUDIO DE LA CALIDAD ACUSTICA EN LAS AREAS CRITICAS PRIORIZADAS POR CONTAMINACION SONORA A FIN DE CONTROLAR LOS NIVELES DE RUIDO EN LOS MUNICIPIOS DEL DEPARTAMENTO DE CORDOBA.,UNIVERSIDAD PONTIFICIA BOLIVARIANA - CENTRO INTEGRADO PARA EL DESARROLLO DE LA INVESTIGACION,"2,010"
"1,095",ELABORACION DE LA PRIMERA FASE DEL ESTUDIO DE CALIDAD ACUSTICA EN LAS AREAS CRITICAS Y PRIORIZADAS POR CONTAMINACION SONORA A FIN DE CONTROLAR LÑOS NIVELES DE RUIDO EN LOS MUNICIPIOS DEL DEPARTAMENTO DE CORDOBA.,UNIVERSIDAD PONTIFICA BOLIVARIANA - CENTRO INTEGRADO PARA EL DESARROLLO DE LA INVESTIGACION ,"2,010"
"1,096","EVALUACION DE LA BIODIVERSIDAD ASOCIADA A LOS ARRECIFES ARTIFICIALES INSTALADOS EN EL MARCO DEL PROGRAMA DIASPORA FASE I Y II, DEPARTAMENTO DE CORDOBA, GOLFO DE MORROSQUILLO, CARIBE COLOMBIANO. INFORME FINAL.(2 TOMOS)","CONVENIO DE COOPERACION CINTIFICA Y TECNOLOGICA NO. 17, MONITORES AMBIENTALES.","2,012"
"1,097",SERVICIOS CIENTIFICOS Y TECNOLOGICOS PARA LA REALIZACION DE PLANES ESTUDIOS Y ESTADISTICAS SOBRE EL CONTROL DE LAS INUNDACIONES EN EL MARCO DEL PLAN DE ACCION PARA LA MITIGACION DE LAS INUNDACIONES Y CONTROL DE LA EROSION PAMICE,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SECCIONAL MONTERIA,"2,012"
"1,098",REALIZAR ESTUDIOS CIENTIFICOS SOBRE DEGRADACION Y DESERTIFICACION DE TIERRAS EN EL D/PTO DE CORDOBA PARA LA FORMULACION DE UN PLAN DE ACCION REGIONAL DE LUCHA CONTRA LA DESRTIFICACION Y LA SEQUIA EN EL D/ PTO,CONVENIO N 25/2011 UPB-CVS,"2,012"
"1,099",AVANCES EN LA IMPLEMENTACION DE ACCIONES PARA LA CONSERVACION DE LA TORTUGA DE RIO EN EL BAJO RIO SINU,CONSEVACION INTERNACIONAL COLOMBIA ,"2,012"
"1,100",APLICAR  NUEVAS TECNOLOGIAS EN LA TRANSFORMACION DE PRODUCTOS APICOLAS PARA SU INCURSION EN LOS MERCADOS VERDES EN EL D/ PTO DE GORDOBA.,CONVENIO 24/2011 UPB/CVS,"2,012"
"1,101","SERVICIOS CIENTIFICOS Y TECNOLOGICOS , CONSISTENTES EN EL DESARROLLO Y MANEJO Y ALIMENTACION DE SOFTWARE CAPTURA ALMACENAMIENTO ANALISIS VISUIALIZACION ADMINISTRACION Y CONSULTA",CONVENIO 9-2011 UPB/CVS,"2,012"
"1,102",SERVICIOS CIENTIFICOS TECNOLOGICOS CONSISTENTES EN EL DESARROLLO DE PLANES ESTUDIOS Y ESTADISTICAS PERMANENTES SOBRE LAS DINAMICAS Y COMPORTAMIENTOS NATURALES Y SOCIALES QUE GENERAN RIESGOS EN LAS ZONAS INUNDABLES Y SUSCEPTIBLES DE REMOCION EN MASA ,CONVENIO 03-2011 UPB- CVS,"2,012"
"1,103",DIFUSION DE CONOCIMIENTO CIENTIFICO AMBIENTALES EN LOS MUNICIPIOS DE SAHAGUN SAN BERNARDO DEL VIENTO Y SAN ANDRES,CONVENIO 31-2010 UPB/CVS,"2,012"
"1,104",REALIZAR ESTUDIOS DE CARÁCTER CIENTIFICO RELACIONADOS CON EL PLAN GENERAL DE ORDENACION FORESTAL  PGOF YEL PLAN DE ORDENAMIENTO AMBIENTAL TERRITOTRIAL DE LA ZONA AMORTIGUADORA  POATZADEL PNN PARAMILLO,CONVENIO 036 DE 2010 U NACIONAL DE COLOMBIA SEDE  MEDELLIN,"2,012"
"1,105",APLICAR TECNOLOGIA Y CONOCIMIENTOS CIENTIFICOS EN LOS PROCESOS DE REHABILITACION Y CONSERVACION DE SUELOS EN SISTEMAS DE PRODUCION AGRICOLA DE LA REGION COSTANERA DEL D/PTO DE CORDOBA ,CORPOICA -CVS 2011,"2,011"
"1,106",APLICAR NUEVAS TECNOLOGIAS EN LA TRANSFORMACION DE PRODUCTOS APICOLAS PARA SU INCURSION EN LOS MERCADOS VERDES DEL D/PTO,CONVENIO 24-2011 UPB-CVS,"2,012"
"1,107",DESARROLLO SOSTENIBLE DE LAS ARTESANIAS DEL DEPARTAMENTO DE CORDOBA,ARTESANIAS DE COLOMBIA -CVS,"2,011"
"1,108",ELABORACION DE PRIMERA FASE DEL ESTUDIO DE LA CALIDAD ACUSTICA EN LAS AREAS CRITICAS Y PRIORIZADAS POR CONTAMINACION SONORA A FIN DE CONTROLAR LOS NIVELES DE RUIDO EL LOS MUNICIPIO DEL D/PTO DE CORDOBA CERETE Y PLANETA RICA,UPB--CVS,"2,010"
"1,109",APLICAR TECNOLOGIAS Y CONOCIMIENTO CIENTIFICOS A PROCESOS O PROYECTOS DE EDUCACION AMBIENTAL EN INSTITUCIONES EDUCATIVAS DEL D/PTO DE CORDOBA,CONVENIO 30 DE 2010 UPB CVS,"2,012"
"1,110",IMPLEMENTAR UNA FASE PRACTICA DE INVESTIGACION ENCAMINADA A LA TRANSFERENCIA DE CIENCIA Y TACNOLOGIA EN LA APLICACIÓN DE LA PRODUCCION MAS LIMPIA COMO ESTRATEGIA AMBIENTAL EN GRANJAS PORCICOLAS Y EVALUAR LOS RESULTADOS EN EL D/PTO DE CORDOBA,CONVENIO 44-2009 UPB-CVS,"2,012"
"1,111",SERVICIOS CIENTIFICOS Y TECNOLOGOCOS CONSISTENTES EN LA ELABORACION  DE LOS MAPAS DE AREAS EXPUESTAS A AMENANAZAS NATURALES MOVIMIENTO DE MASA E INUNDACIONES IDENTIFICANDO Y DELIMITANDO LAS ZONAS INUNDABLES Y MOVOMIENTOS DE MASA EN SUELO RURAL Y ZONA URBANA EN VARIOS MUNICIPIOS DEL D,U EAFIT - CVS,"2,013"
