No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
96,Estudio ecológico y ambiental de la Cienaga Grande de Lorica- Massi. Volumen 1,CVS/Universidad de Antioquia,"1,993"
97,Estudio ecológico y ambiental de la Cienaga Grande de Lorica- Massi. Volumen 2,CVS/Universidad de Antioquia,"1,993"
98,Estudio ecológico y ambiental de la Cienaga Grande de Lorica - Massi. Volumen 4, CVS/Universidad de Antioquia,"1,993"
100,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Montelíbano (2 copias), CVS. Ingeominas,"2,005"
101,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Puerto Libertador (2 copias)," CVS, Ingeominas","2,005"
102,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Pueblo Nuevo (2 copias)," CVS, Ingeominas","2,005"
103,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Lorica (2 copias)," CVS, Ingeominas","2,005"
104,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Ayapel (2 copias)," CVS, Ingeominas","2,005"
105,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Sahagún (2 copias)," CVS, Ingeominas","2,005"
106,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Tierralta (2 copias)," CVS, Ingeominas","2,005"
107,Inventario y diagnóstico minero ambiental del departamento de Córdoba. San Carlos (2 copias)," CVS, Ingeominas","2,005"
108,Inventario y diagnóstico minero ambiental del departamento de Córdoba. San Bernardo del Viento (2 copias)," CVS, Ingeominas","2,005"
109,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Chimá (2 copias),"CVS, Ingeominas","2,005"
110,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Valencia (2 copias)," CVS, Ingeominas","2,005"
111,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Montería  ," CVS, Ingeominas","2,005"
112,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Aspectos socioeconómicos del departamento de Córdoba,"CVS, Ingeominas","2,005"
113,Plan Maestro de la Cuenca Hidrográfica del río Sinú. Ajuste al Plan Maestro de Desarrollo Integral de la cuenca hidrográfica del río Sinú.,CVS/ BID,"1,991"
114,"Inventario Diagnóstico Minero en el departamento de Córdoba. Caracterización Socioeconómica de la Actividad Minera en el Departamento de Córdoba, Anexo 3","CVS, INGEOMINAS","2,005"
115,"Inventario Diagnóstico Ambiental Minero en el departamento de Córdoba, Monografía Municipio Canalete (2 copias)","CVS, INGEOMINAS","2,005"
116,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio La Apartada (2 copias)","CVS, INGEOMINAS","2,005"
117,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio Chinú (2 copias)","CVS, Ingeominas","2,005"
118,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio San Antero (2 copias)","CVS, Ingeominas","2,005"
119,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio San Pelayo (2 copias)","CVS, Ingeominas","2,005"
120,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio Puerto Escondido (2 copias)","CVS, Ingeominas","2,005"
121,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio Purísima (2 copias)","CVS, Ingeominas","2,005"
122,Inventario y Caracterización Minero Ambiental  del Departamento de Córdoba. Anexo II,"CVS, Ingeominas","2,005"
123,"Diseño Presa San Antero, Ordenamiento y manejo cuenca Bijao Chiquito","CVS, INCCO Ltda.","1,991"
124,"Desarrollo Integral  Cuenca Río Sinú, Plan Maestro","CVS, ","1,981"
125,"Inventario Diagnóstico Minero Ambiental en el Departamento de Córdoba, Monografía Municipio Los Córdobas (2 copias)","CVS, Ingeominas","2,005"
126,"Diagnostico Microcuenca Arroyo Jején, San Andrés, Chimá","CVS, Luis Cabrales Buelvas","1,993"
127,"Inventario Diagnostico Minero Ambiental del departamento de Córdoba, Municipio Planeta Rica (2 copias)","CVS, Ingeominas","2,005"
128,"Inventario Diagnostico Minero Ambiental del departamento de córdoba, Municipio Moñitos (2 copias)","CVS, Ingeominas","2,005"
129,Plan Maestro de Desarrollo Integral de la Cuenca Hidrográfica del río Sinú. ,"CVS, BID/Planeación Nacional","1,983"
130,"Estudio de factibilidad para la solución del problema de drenaje para el control de las inundaciones en el caño Bugre, Ciénaga Grande de Lorica y diseño del sistema  de drenaje de la Isla Lara, Tomo I de II","CVS, Ingenieros Consultores, HIMAT ","1,990"
131,"Estudio de factibilidad para la solución del problema de drenaje para el control de las inundaciones en el caño Bugre, ciénaga Grande de Lorica y diseño del sistema de drenaje Isla Lara, Tomo II de II","CVS, Ingenieros Consultores, HIMAT ","1,990"
132,Estudio Impacto Ambiental por Minería Ciénaga de Ayapel.,"CVS, Universidad de Antioquia","1,990"
133,Boletín Estadístico ,"CVS, Oficina de Planeación","1,990"
134,Diagnóstico biofísico y socioeconómico preliminar de la microcuenca La Jui.  Informe Final. ,"CVS, Jaime De La Ossa Lastre","1,993"
135,Estudio detallado de Suelos y clasificación de tierras para  riegos y drenajes.,"CVS, Instituto Geográfico  Agustín Codazzi","1,971"
136,"Informe Parcial Estudio Ecológico, control vegetación acuática, Ciénega Grande de Lorica","CVS, Centro Investigación Ambientales","1,991"
137,Proyecto Hidroeléctrico del Alto Sinú.  Información hidrometeorológica suministrada al doctor Hsieh Wen Shen para el estudio de necesidades de estructuras hidráulicas para regular caudales entre el río Sinú y la Ciénega Grande y Betancí de acuerdo a los requerimientos piscícolas.,"CVS, Gómez Cajiao y Asociados ","1,984"
138,"Factibilidad Zona Norte Informe final, Estudio de factibilidad para la solución de problema  de drenaje  y control de inundaciones en el caño Bugre y Ciénaga Grande de Lorica y diseño del sistema de drenaje de la Isla Lara, Anexo III, Hidrología y Climatología","CVS, Gómez Cajiao y Asociados CIA Ltda.","1,991"
139,"Estudio de factibilidad para la solución de problema  de drenaje y Control de Inundaciones en el caño bugre y Ciénaga Grande de Lorica y diseño del sistema de drenaje de la Isla Lara, Anexo Estudio Hidrológico de la Ciénaga Grande de Lorica","CVS, Gómez Cajiao y Asociados CIA Ltda.","1,991"
140,"Diagnóstico Biofísico y Socioeconómico, Microcuenca La Jui.  Informe Final","CVS, Jaime De la Ossa Lastre","1,993"
141,Estudio de impacto ambiental por Minería Ciénaga Ayapel. Tomo 1.  Calidad de Agua,"CVS, Universidad de Antioquia","1,990"
142,Plan de contingencia para los acueductos ubicados entre los municipios de Tierralta y Valencia durante el llenado del embalse Urrá I,Jorge Arturo Restrepo,"1,998"
143,Diagnóstico preliminar de la microcuenca del  arroyo Mocha,"CVS, Manuel Mercado Pacheco","1,993"
144,Estudio de Impacto Ambiental del Matadero de Santa Cruz de Lorica,"CVS, Carlos Andrés Burgos Galeano/ Luis Eduardo Puche Morales","1,997"
145,Estudio de impacto ambiental para la explotación del material de arrastre en el río San Jorge sector Picapica. Puente Troncal de Occidente,"CVS, Reinaldo Taffur Casilla/ Jorge Durango","2,001"
146,Estudio de  Caracterización de los residuos líquidos generados en el complejo habitacional.,"CVS, Cerromatoso","1,996"
148,Diseño de una planta de potabilización de agua por la tecnología de filtración lenta en arena para el municipio de Canalete,"CVS, Universidad de Córdoba","1,989"
149,Mantenimiento e Instrumentación de 4 pozos profundos  del municipio de Chinú.,"CVS, Héctor Mario Herrera","1,991"
150,Diagnostico Preliminar de la Microcuenca quebrada Aguas Claras de Pueblo Nuevo,"CVS, Rafael Novoa Yánez","1,998"
151,Diagnostico Preliminar de la Microcuenca Arroyo El Bálsamo de San Pelayo,"CVS, José Fernando Cogollo","2,000"
152,Diagnostico Preliminar de la Microcuenca Hidrográfica Arroyo El Barroso en San Pelayo.,"CVS, Oscar Portillo Orozco","1,999"
153,Presa de Uso Múltiple Cuenca Río San Jorge. Propuesta Técnica,"CVS, BID, Ambientec","1,987"
154,Diagnóstico Preliminar de la Microcuenca Hidrográfica Arroyo El Pital Municipio de   San Carlos,"CVS, José Luis Otero","1,993"
155,Documento de Evaluación y Manejo Ambiental para la Licencia de Exploración Geológica No 023-23 San Juan.," CVS, Santa Gertrudis I Som.","1,998"
156,Documento de Evaluación y Manejo Ambiental para la Licencia de Exploración Geológica No 023-23 Mina Ra," CVS, Santa Gertrudis I Som.","1,998"
157,Documento de Evaluación y Manejo Ambiental Para la Licencia de Exploración Geológica No 024-23 La Antena," CVS, Santa Gertrudis I Som.","1,998"
158,Estudio General de Suelo del Municipio de Tierralta en el Departamento de Córdoba., CVS ,"1,981"
159,"Informe de Interventoría Construcción Pozo Profundo No 20 - Chinú, Anexo 2 Análisis de la Prueba de Bombeo.  Anexo 2"," CVS, Planeación Nacional","1,992"
160,"Estudio y Diseños de Erosión en la Playa de Punta Bello, Córdoba."," CVS, Ing. Germán  Monsalve Sáenz","1,991"
161,"Programa de Reciclaje Municipal, Municipios de Arboletes, Canalete y Los Córdobas.", CVS ,"2,000"
162,Diagnóstico Básico de la Microcuenca del Arroyo Bijao en el Municipio de Purísima.,CVS/Gustavo Adolfo Montenegro D´Martino,"1,997"
163,Plan de Manejo Ambiental Explotación Arroyo San Miguel y Planta Asfáltica El Cepillo Sector Cereté-San Carlos Volumen  II,"CVS, Zoraya Yasquine Martínez Lara","1,996"
165,Estudio de Factibilidad para la Solución del Problema de Drenaje y Control de Inundaciones y Diseños del Sistema de Drenaje de la Isla de Lara. Resumen de la Situación Actual,"CVS , Gómez Cajiao y Asociados Cía. Ltda.","1,991"
166,Recopilación y Análisis de la Información Básica Existente Referente a la Ciénaga de Martinica,"CVS , Rodolfo Enrique Silgado Kerguelén","1,993"
750,Informe de Gestión 2006,CVS,"2,005"
167,"Diagnóstico  Preliminar de la Pequeña Cuenca Hidrográfica de la  Quebrada Las Flores, Municipio de  Tierralta (Alto Sinú)",CVS  Juan Noriega Martínez y Doris Mejía Ávila,"1,993"
168,Estudio para el Montaje y Puesta en Marcha del Servicio  de Aseo del Municipio de San Antero Departamento de Córdoba," CVS, Alonso Pretelt Naranjo, Administración Municipal, Doctor Timoleón Álvarez Martínez","1,996"
169,"Esquema de Ordenamiento Territorial 2001-2015, Tomo V Proyecto de Acuerdo, Municipio de Moñitos"," CVS, Costa Atlántica Ltda.","2,001"
170,Diagnóstico Preliminar de la Microcuenca Arroyo Terranova  o El Barroso en San Pelayo," CVS, Alfredo Cabrales Puche-Zootecnista","2,000"
171,Boletín Estadístico ," CVS, Instituto Geográfico Agustín Codazzi","1,991"
173,Diagnóstico Preliminar de la Microcuenca Hidrográfica del Arroyo el Coco," CVS, Eder José Ubarnes Espitia","1,999"
174,Diagnóstico  Básico de la Microcuenca del Arroyo El Polvero en el Municipio de Lorica.," CVS, Italo Martelo Orozco - Ingeniero Agrónomo","1,998"
175,"Diagnóstico Preliminar de la Microcuenca Hidrográfica del Arroyo Palmito,  Municipios de Chimá  y  San Andrés de Sotavento"," CVS,  Rafael Montoya Bohórquez- I.A. - Consultor","1,993"
176,"Diagnóstico Preliminar de la Microcuenca Hidrográfica de La Quebrada   El Limón, Municipio de Canalete"," CVS, Gustavo Adolfo Montenegro D'Martino - Consultor","1,997"
177,"Diagnóstico Preliminar de la Microcuenca  de La Quebrada  Urango, Municipio de Canalete"," CVS, Gustavo Adolfo Montenegro D'Martino - Consultor","1,997"
178,"Puerto Escondido Córdoba, Obras de Protección Costera y Muelle para Embarcaciones Menores."," CVS, Universidad  del Norte","1,995"
179,Estudio de Preinversión para la Rehabilitación y Explotación de Siete Estuarios Naturales en el Municipio de Puerto Escondido,"CVS, Consejo Regional de Planificación de La Costa Atlántica (CORPES)","2,000"
180,"Análisis y Evaluación de Resultados del Estudio Ecológico y Ambiental de la Ciénaga de Massi Lorica, Tercer Informe Parcial"," CVS, Ambientec Ltda.","1,992"
181,"Plan de Manejo Ambiental  Para la Microcuenca de la Quebrada Urrá, Municipio Tierrallta. "," CVS,  Ingeniero Miguel Genes Pinto","2,002"
182,Diagnóstico Preliminar de la Microcuenca del Arroyo Vueltoso. ,"CVS, Fabio Negrete Lozano -Consultor","1,999"
183,Producción y Comercialización de Productos Artesanales de la Caña Flecha en el Resguardo Indígena de San Andrés de Sotavento (Córdoba y Sucre)," CVS, Guillermo Viveros Astudillo","2,000"
184,Estudio de Factibilidad para la solución del problema de Drenaje y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseños del Sistema de Drenaje de la Isla de Lara. Informe Final - Anexo 9 -Evaluación Económica," CVS, Gómez Cajiao y Asociados Cía Ltda.","1,991"
185,Estudio de Factibilidad para la Solución  del Problema de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla De Lara - Municipio de Lorica-Factibilidad Zona Norte - Informe Final  Preliminar -Anexo 6-Mercadeo," CVS, Gómez Cajiao y Asociados Cía Ltda.","1,991"
186,Proyecto Isla de Lara -Sistema de Drenaje -Informe Final -Diseño.," CVS, Instituto Colombiano de Hidrología, Meteorología y Adecuación de Tierras, Gómez Cajiao Asociados CIA. Ltda.","1,991"
188,"Mapa General de Cobertura Vegetal, Zona Alta Ríos Sinú y San Jorge"," CVS, Fernando Céspedes, I.T.A. Ingenieros Técnicos Asociados","1,977"
189,Estudio Ecológico y Ambiental y   De  La  Ciénaga Grande de Lorica - Massi Volumen  III," CVS, Universidad de Antioquia - Centro de Investigación  Ambiental ","1,993"
190," Estudio de Factibilidad  para la Solución del Problema  de Drenaje y Control de Inundaciones en el Caño Bugre y Ciénaga Grande de Lorica y diseño del sistema de Drenaje de la Isla Lara, Informe Preliminar Estudio Socioeconómico","CVS, Gómez Cajiao y Asociados CIA. Ltda.","1,991"
191,Estudio de Factibilidad para La solución del Problema de Drenaje y Control de  Inundaciones en el Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de La Isla de Lara - Municipio de Lorica.,"CVS, Gómez Cajiao y Asociados CIA. Ltda.","1,990"
192,Estudio Ecológico y ambiental de La ciénaga Grande de Lorica - Massi -Municipio de Lorica," CVS, Universidad de Antioquia Centro de Investigaciones Ambientales","1,993"
193,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en el Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara, Impacto Ambiental Anexo 2"," CVS, Gómez Cajiao  Asociados CIA. Ltda.","1,991"
